,timestamp,source,log_message,target_label,complexity,clusters
495,3/30/2025 23:11,BillingSystem,Unforeseen server 17 reboot occurred during data export,Error,bert,
503,4/24/2025 2:57,ModernHR,User 7790 account had multiple failed login tries,Security Alert,bert,
504,9/25/2025 7:20,BillingSystem,Critical system equipment failure: equipment ID Component68,Critical Error,bert,
508,4/15/2025 2:04,ThirdPartyAPI,System reboot initiated by user User591.,System Notification,regex,
511,12/28/2025 12:17,ModernCRM,Multiple invalid login attempts were made for user 8920,Security Alert,bert,
512,5/13/2025 17:25,AnalyticsEngine,An attempt to export data without permission was made,Security Alert,bert,
513,5/3/2025 7:19,ModernHR,Shard 4 data transfer failed,Error,bert,
516,10/7/2025 10:31,BillingSystem,Disk cleanup completed successfully.,System Notification,regex,
517,3/21/2025 15:20,BillingSystem,Unauthenticated API access attempt from user 7672 logged,Security Alert,bert,
522,6/23/2025 9:22,ThirdPartyAPI,Detected an anomalous data transfer request,Security Alert,bert,
524,10/20/2025 9:16,ModernCRM,Account Account9938 blocked due to failed login,Security Alert,bert,
526,1/15/2025 6:34,AnalyticsEngine,Server 24 experienced an unplanned restart during data replication,Error,bert,
527,10/2/2025 11:56,BillingSystem,Account with ID 1478 created by User605.,User Action,regex,
528,9/6/2025 17:48,ThirdPartyAPI,Invalid SSL certificate resulted in a failed service health check.,Error,bert,
530,12/12/2025 13:41,ModernCRM,Input data format in module X was invalid or corrupted,Error,bert,
533,4/19/2025 16:16,AnalyticsEngine,API access denied due to unauthorized credentials for user 7900,Security Alert,bert,
534,11/8/2025 9:31,ModernHR,Detected an illicit data extraction attempt,Security Alert,bert,
541,9/29/2025 23:56,ModernHR,Critical system unit error: unit ID Component64,Critical Error,bert,
542,4/7/2025 17:27,ModernHR,Unauthenticated API access attempt from user 3845 logged,Security Alert,bert,
544,12/4/2025 11:33,AnalyticsEngine,Server 6 suffered an abrupt restart during data import,Error,bert,
545,2/17/2025 22:32,ModernCRM,Service health check failure was due to an invalid or improperly configured SSL certificate.,Error,bert,
547,5/2/2025 2:52,ThirdPartyAPI,Multiple disk errors found in RAID configuration,Critical Error,bert,
552,9/22/2025 20:54,ModernHR,System reboot initiated by user User421.,System Notification,regex,
555,5/30/2025 22:23,ThirdPartyAPI,Shard 20 data synchronization failed,Error,bert,
558,3/17/2025 20:19,ModernCRM,Data replication for shard 6 encountered an issue,Error,bert,
559,4/5/2025 18:37,ThirdPartyAPI,Account with ID 8884 created by User893.,User Action,regex,
560,4/26/2025 4:14,ModernHR,Server 28 went offline unexpectedly during data parsing,Error,bert,
562,10/10/2025 1:53,ModernHR,Security alert: suspicious activity on server 31,Security Alert,bert,
564,7/28/2025 12:50,ThirdPartyAPI,Login to secured account Account6057 was not possible,Security Alert,bert,
570,11/7/2025 18:08,ThirdPartyAPI,Email service impacted by sending failure,Critical Error,bert,
571,2/4/2025 21:15,AnalyticsEngine,Key system element crashed: element ID Component77,Critical Error,bert,
572,8/12/2025 4:53,ThirdPartyAPI,RAID array experienced multiple disk failures and issues,Critical Error,bert,
575,6/6/2025 2:04,ModernCRM,"Server 49 is under potential security threat, review necessary",Security Alert,bert,
578,10/11/2025 2:24,ModernCRM,Cross-system configuration failure occurred,Critical Error,bert,
583,12/1/2025 20:09,AnalyticsEngine,System component has failed: component ID Component62,Critical Error,bert,
586,5/21/2025 5:43,ModernCRM,Server 46 was rebooted without notice during data verification,Error,bert,
587,11/3/2025 15:36,ModernCRM,Account with ID 1314 created by User418.,User Action,regex,
595,3/18/2025 14:12,ModernHR,Failed login try on account Account1984 occurred,Security Alert,bert,
598,9/9/2025 11:36,ModernHR,Disk cleanup completed successfully.,System Notification,regex,
601,8/13/2025 12:07,AnalyticsEngine,An issue with the SSL certificate caused the service health check to fail.,Error,bert,
604,4/7/2025 2:12,AnalyticsEngine,User 8395 escalated privileges to admin level,Security Alert,bert,
605,9/1/2025 5:52,BillingSystem,Server 19 went offline unexpectedly during data parsing,Error,bert,
606,4/28/2025 20:42,ThirdPartyAPI,Disk cleanup completed successfully.,System Notification,regex,
608,3/4/2025 15:03,AnalyticsEngine,Failed access attempt on limited account Account4615,Security Alert,bert,
614,1/31/2025 2:56,AnalyticsEngine,Account with ID 4725 created by User771.,User Action,regex,
615,1/21/2025 10:09,BillingSystem,"Abnormal behavior found on server 50, possible security threat",Security Alert,bert,
616,3/29/2025 16:26,AnalyticsEngine,Disk cleanup completed successfully.,System Notification,regex,
619,9/18/2025 15:46,ModernHR,IP 192.168.87.42 flagged for potential cyber threat,Security Alert,bert,
620,1/19/2025 2:53,BillingSystem,Input to module X did not conform to expected format,Error,bert,
625,11/29/2025 4:00,ThirdPartyAPI,User 8693 has escalated to admin level,Security Alert,bert,
629,1/30/2025 10:16,ModernHR,Critical system module failure: module ID Component29,Critical Error,bert,
631,12/29/2025 10:27,ThirdPartyAPI,User 1403 had multiple login attempts rejected,Security Alert,bert,
633,3/29/2025 7:30,ModernHR,Denied access attempt on restricted account Account5391,Security Alert,bert,
636,4/9/2025 3:09,ThirdPartyAPI,Vital system component is down: component ID Component35,Critical Error,bert,
642,1/16/2025 9:11,ModernHR,Account with ID 3189 created by User444.,User Action,regex,
645,8/8/2025 0:27,ModernHR,Format of input data in module X was not recognized,Error,bert,
648,9/10/2025 18:21,AnalyticsEngine,Server 22 was restarted unexpectedly while data was being transferred,Error,bert,
650,2/20/2025 22:37,ModernHR,Disk cleanup completed successfully.,System Notification,regex,
656,2/8/2025 22:10,ThirdPartyAPI,Critical system unit failure: unit ID Component12,Critical Error,bert,
657,4/24/2025 21:47,AnalyticsEngine,RAID configuration experienced multiple disk issues,Critical Error,bert,
659,5/3/2025 3:28,AnalyticsEngine,Critical system module failure: module ID Component59,Critical Error,bert,
661,11/28/2025 14:10,BillingSystem,Possible hacking attempt identified from IP 192.168.24.230,Security Alert,bert,
664,5/26/2025 8:26,ModernHR,Non-recoverable error encountered in primary application,Critical Error,bert,
665,3/2/2025 16:23,BillingSystem,Account with ID 9621 created by User886.,User Action,regex,
666,2/13/2025 3:19,ModernHR,API access request from user 2665 was rejected due to invalid credentials,Security Alert,bert,
668,9/5/2025 7:14,ModernHR,System reboot initiated by user User297.,System Notification,regex,
672,11/21/2025 8:19,ModernHR,Data replication for shard 2 was unsuccessful,Error,bert,
676,3/23/2025 11:51,ThirdPartyAPI,Server 21 experienced an unanticipated restart during data reconciliation,Error,bert,
678,4/28/2025 15:13,AnalyticsEngine,Email delivery problem affected system,Critical Error,bert,
693,7/6/2025 21:40,BillingSystem,System reboot initiated by user User159.,System Notification,regex,
695,6/30/2025 12:46,ThirdPartyAPI,Service outage due to email delivery problem,Critical Error,bert,
697,3/13/2025 7:09,BillingSystem,System reboot initiated by user User648.,System Notification,regex,
698,3/14/2025 10:55,BillingSystem,User 3330 account experienced multiple login failures,Security Alert,bert,
703,1/21/2025 5:16,ModernCRM,System component is not functioning: component ID Component3,Critical Error,bert,
705,7/24/2025 2:13,ModernHR,User 9202 has admin privileges escalated,Security Alert,bert,
709,7/27/2025 7:39,AnalyticsEngine,Unfixable issue identified in essential system module,Critical Error,bert,
713,1/18/2025 21:53,ModernCRM,Severe system crash found in core application component,Critical Error,bert,
714,9/25/2025 23:35,ThirdPartyAPI,System reboot initiated by user User600.,System Notification,regex,
720,12/17/2025 2:28,ThirdPartyAPI,Disk cleanup completed successfully.,System Notification,regex,
723,3/26/2025 15:48,ThirdPartyAPI,"Server 31 has been flagged for suspicious activity, security review",Security Alert,bert,
724,6/10/2025 15:27,BillingSystem,Shard 11 data replication task was terminated,Error,bert,
726,11/19/2025 9:00,BillingSystem,Unapproved API login attempt from user 8007 recorded,Security Alert,bert,
730,5/24/2025 11:08,AnalyticsEngine,System reboot initiated by user User120.,System Notification,regex,
731,1/21/2025 23:32,BillingSystem,System configuration is experiencing errors,Critical Error,bert,
732,9/3/2025 8:16,BillingSystem,"Warning: unusual patterns detected on server 2, security check advised",Security Alert,bert,
733,8/15/2025 20:56,ThirdPartyAPI,Invalid login attempt made on secured account Account9649,Security Alert,bert,
734,1/2/2025 2:36,ThirdPartyAPI,Service health check failure was caused by an expired SSL certificate.,Error,bert,
735,11/15/2025 6:29,ThirdPartyAPI,Failed to replicate data for shard 4,Error,bert,
736,4/21/2025 2:34,AnalyticsEngine,Shard 6 data transfer failed,Error,bert,
744,11/6/2025 15:30,ThirdPartyAPI,Error in input format occurred during module X execution,Error,bert,
745,3/18/2025 0:41,AnalyticsEngine,User 4508 was unable to authenticate for API access,Security Alert,bert,
747,2/6/2025 9:20,BillingSystem,Admin privilege escalation alert for user 8532,Security Alert,bert,
750,8/24/2025 1:51,ModernHR,System configuration has been tampered with,Critical Error,bert,
751,3/14/2025 14:33,BillingSystem,"Server 46 has been compromised, potential security risk",Security Alert,bert,
753,3/30/2025 12:13,AnalyticsEngine,SSL certificate validation errors resulted in a failed service health check.,Error,bert,
757,11/28/2025 11:06,ModernHR,System component is not functioning: component ID Component29,Critical Error,bert,
758,9/28/2025 3:04,ModernCRM,Abnormal shutdown of server 13 happened during data transfer,Error,bert,
759,2/28/2025 7:32,BillingSystem,Account with ID 1559 created by User136.,User Action,regex,
761,12/15/2025 22:18,AnalyticsEngine,IP 192.168.237.233 flagged for potential security threat,Security Alert,bert,
763,5/10/2025 19:49,ModernHR,Critical bug identified in main application module,Critical Error,bert,
769,4/28/2025 4:07,ModernHR,API access denied due to unauthorized credentials for user 5914,Security Alert,bert,
770,2/12/2025 8:09,BillingSystem,Unusual access attempt from 192.168.129.63 logged,Security Alert,bert,
775,2/24/2025 18:08,AnalyticsEngine,Critical system equipment failure: equipment ID Component10,Critical Error,bert,
778,5/1/2025 17:02,ModernCRM,Detected an unauthorized data extraction request,Security Alert,bert,
789,1/25/2025 5:24,ModernHR,Privilege elevation detected for user 6942,Security Alert,bert,
790,8/9/2025 18:32,AnalyticsEngine,API access request from user 9714 was rejected due to invalid credentials,Security Alert,bert,
792,9/29/2025 4:00,ThirdPartyAPI,Disk cleanup completed successfully.,System Notification,regex,
794,9/19/2025 21:16,ModernCRM,Account with ID 1977 created by User815.,User Action,regex,
797,5/23/2025 15:01,BillingSystem,"Abnormal system behavior on server 43, potential security breach",Security Alert,bert,
800,8/15/2025 12:14,BillingSystem,System reboot initiated by user User901.,System Notification,regex,
809,4/21/2025 14:00,ThirdPartyAPI,User 4373 has escalated admin privileges without authorization,Security Alert,bert,
811,1/22/2025 0:54,AnalyticsEngine,Account with ID 4585 created by User485.,User Action,regex,
814,9/20/2025 14:44,ThirdPartyAPI,Admin privilege misuse detected for user 3117,Security Alert,bert,
816,7/9/2025 9:38,BillingSystem,Error in email delivery affected service,Critical Error,bert,
817,4/8/2025 22:53,ModernHR,Account with ID 6661 created by User556.,User Action,regex,
820,5/20/2025 7:43,ModernCRM,API security system detected suspicious activity from user 4239,Security Alert,bert,
822,10/12/2025 6:00,ModernHR,Possible malware activity from 192.168.71.185 detected,Security Alert,bert,
825,1/15/2025 8:47,BillingSystem,Unexpected server 40 downtime occurred during data validation,Error,bert,
826,4/11/2025 8:04,ModernCRM,Security breach suspected from IP address 192.168.89.160,Security Alert,bert,
827,11/19/2025 15:14,ModernHR,Boot process was stopped by kernel malfunction,Critical Error,bert,
828,8/25/2025 12:03,ModernCRM,Error replicating data to shard 17,Error,bert,
837,4/9/2025 8:28,AnalyticsEngine,System reboot initiated by user User876.,System Notification,regex,
